quant_saved,female,highschool_completed,wealthy
39.2724,1,0,0
39.54426207,1,1,1
39.2724,1,1,1
39.2724,1,1,1
294.543,1,0,0
2.284,1,0,0
58.9086,1,0,1
196.362,1,1,1
39.2724,1,0,0
6.852,1,1,1
2.284,0,1,1
2.284,1,1,1
39.2724,1,1,1
274.9068,0,1,1
39.2724,1,1,1
39.2724,0,1,1
52.3632,1,0,1
2.284,1,1,1
57.1,1,0,0
2.284,1,0,0
2.284,1,0,0
39.2724,1,0,0
78.5448,1,1,1
58.9086,1,1,1
130.908,1,1,0
39.2724,1,1,1
2.284,1,1,0
46.15393,1,1,1
2.284,1,1,0
2.284,1,1,0
47.59947449,1,1,0
39.2724,1,0,0
2.284,1,1,1
2.284,1,0,0
39.2724,1,1,1
2.284,1,1,1
2.284,1,0,1
39.2724,1,0,0
45.97920344,1,1,1
2.284,1,1,0
98.181,1,1,1
117.8172,0,1,1
52.3632,1,0,0
98.181,1,1,0
16.3635,1,0,1
2.284,1,1,1
117.8172,1,1,0
58.9086,0,1,1
52.3632,1,1,1
39.2724,0,0,0
2.284,1,1,1
196.362,1,1,0
130.908,0,1,1
2.284,0,1,1
6.5454,1,1,1
2.284,1,1,1
157.0896,0,1,1
48.06061275,1,1,1
10.1067,1,1,1
2.284,1,1,1
4.568,1,0,0
196.362,1,1,1
39.2724,1,1,1
2.284,1,1,1
98.181,0,1,1
98.181,0,1,1
78.5448,1,1,1
52.3632,1,1,1
2.284,1,1,1
32.727,1,1,1
78.5448,0,0,0
2.284,1,1,1
19.6362,1,1,0
2.284,1,0,1
39.2724,1,0,1
69.49389515,1,1,1
81.48261449,0,1,1
39.2724,1,0,1
16.3635,1,1,1
98.181,0,0,0
46.87316138,1,1,1
98.181,1,1,1
261.816,1,0,1
196.362,1,0,1
29.4543,1,1,1
13.71222207,1,1,1
2.284,1,1,1
117.8172,0,1,1
39.2724,1,1,1
39.2724,0,0,1
78.5448,0,0,1
39.2724,1,1,1
39.2724,0,1,0
2.284,1,1,1
39.2724,1,1,0
2.284,1,1,1
392.724,0,1,1
234.7120704,1,0,1
39.2724,1,0,0
39.2724,1,1,1
242.1944455,1,0,1
261.816,1,1,0
45.8178,1,0,0
65.454,1,1,1
58.9086,0,1,1
45.71357413,1,1,0
39.2724,1,0,0
2.284,1,1,1
2.284,0,1,1
28.17976449,1,1,1
2.284,1,1,1
196.362,1,1,0
39.2724,1,1,1
39.2724,1,1,1
39.2724,1,0,0
19.6362,0,0,0
7.0804,0,1,1
78.5448,0,1,1
2.284,1,0,1
39.2724,1,1,1
98.181,1,1,1
39.2724,1,0,0
39.2724,1,1,1
13.0908,1,1,1
39.2724,1,1,1
78.5448,1,0,0
2.284,1,0,1
2.284,1,0,1
39.2724,0,1,1
16.3635,0,1,1
2.284,1,1,0
2.284,1,1,1
16.3635,0,1,1
39.2724,1,1,1
11.42228414,1,0,1
39.2724,1,1,1
2.284,1,0,0
39.2724,1,1,1
78.5448,0,1,1
2.284,1,1,1
39.2724,0,1,1
6.5454,1,1,1
98.181,0,1,0
2.284,1,0,1
19.6362,0,1,1
8.457651721,1,0,0
6.5454,1,1,1
137.4534,0,1,1
294.543,0,1,1
39.2724,0,1,1
98.181,1,1,0
39.2724,1,1,1
785.448,0,1,1
39.2724,0,1,1
6.5454,1,0,1
343.6335,1,1,1
19.6362,1,0,0
2.284,1,1,1
2.284,1,1,1
2.284,1,0,0
32.727,1,1,1
52.3632,1,1,1
39.2724,0,1,1
39.2724,0,1,1
116.4967917,1,1,1
2.284,1,0,0
4.568,1,1,1
2.284,1,1,1
13.0908,0,1,1
58.9086,0,0,0
2.284,1,1,1
2.284,1,1,1
39.2724,0,0,0
589.086,1,0,0
69.29267898,1,0,0
196.362,0,1,1
2.284,0,0,1
26.1816,1,1,1
81.8175,0,0,1
13.0908,0,1,1
294.543,1,1,1
23.82212,1,1,0
39.2724,1,0,0
39.2724,1,1,1
2.284,0,0,1
48.12159377,1,1,1
81.8175,0,1,1
11.42,0,1,1
6.5454,1,0,1
29.4543,1,0,0
17.14210587,1,1,0
2.284,1,0,1
2.284,1,1,0
47.13102587,1,1,1
10.86475966,0,1,1
39.2724,1,0,0
79.31258587,1,0,1
2.284,1,0,0
2.284,1,1,1
130.908,1,1,1
98.181,1,1,1
2.284,0,1,1
39.2724,0,0,0
2.284,0,1,1
39.2724,0,0,0
39.2724,1,1,1
45.8178,1,1,1
58.9086,1,1,1
157.0896,1,1,1
392.724,0,1,1
39.2724,0,0,1
36.35534138,1,1,0
2.284,0,1,1
19.6362,1,0,1
25.58536688,1,1,1
39.2724,1,1,0
78.5448,1,1,1
98.181,1,0,1
2.284,1,0,1
98.181,1,0,0
19.6362,1,1,1
19.6362,0,0,0
114.338869,1,1,1
196.362,0,1,1
8.76485,1,1,1
39.2724,1,1,1
98.181,1,1,1
39.2724,1,0,1
66.62290826,1,1,1
39.2724,1,0,1
39.2724,0,1,1
39.2724,1,1,0
2.284,1,0,0
2.284,1,0,1
39.2724,1,1,1
98.181,1,1,0
2.284,1,1,1
2.284,0,1,1
2.284,0,0,0
39.2724,1,1,0
39.2724,1,1,0
98.181,1,1,1
2.284,1,1,1
45.74052656,1,1,0
26.1816,1,1,1
39.2724,1,1,0
13.0908,1,1,1
2.284,1,1,1
78.5448,1,1,1
2.284,1,1,1
2.284,1,1,0
392.724,1,0,0
2.284,1,1,1
26.1816,0,1,1
78.5448,1,1,0
39.2724,1,1,1
16.3635,1,1,1
2.284,1,0,0
2.284,0,1,1
19.6362,1,1,1
57.56388174,1,1,1
78.5448,1,1,0
98.181,1,0,0
39.2724,1,0,0
117.8172,1,0,0
39.2724,1,1,1
13.0908,1,1,0
26.1816,1,1,1
39.2724,1,1,1
39.2724,1,0,1
78.5448,0,1,1
589.086,1,1,1
2.284,1,0,0
91.6356,1,1,1
13.0908,1,0,0
2.284,1,0,0
10.06216172,1,1,1
261.816,1,1,1
78.5448,1,1,1
36.544,1,1,1
294.543,0,1,1
392.724,1,0,0
2.284,1,1,1
39.2724,1,1,0
17.2442,0,0,1
2.284,0,1,1
116.4282717,0,1,0
39.2724,1,0,1
2.284,1,1,1
2.284,1,0,1
57.09291826,0,0,1
2.284,1,1,1
39.2724,1,1,1
2.284,1,1,1
45.99267826,1,1,1
2.284,1,1,1
6.5454,1,0,1
39.2724,1,0,0
39.2724,0,0,0
39.2724,1,1,0
294.543,0,1,1
39.2724,0,1,1
13.70674069,1,0,1
26.1816,1,1,1
130.908,0,1,1
51.93313587,0,1,1
981.81,1,1,1
9.054461033,0,1,1
29.4543,0,1,0
78.5448,1,1,1
2.284,0,1,1
39.2724,1,1,1
39.2724,1,1,1
52.3632,1,1,1
58.9086,0,1,0
49.0905,1,0,1
4.07123,1,1,1
39.2724,0,1,1
196.362,1,1,1
2.284,0,1,1
26.1816,0,1,1
98.181,1,0,1
39.2724,0,0,0
39.2724,0,1,1
2.284,0,1,1
2.284,1,1,1
32.727,1,0,0
2.284,0,1,1
2.284,1,1,1
2.284,1,0,0
23.97309207,1,1,0
58.9086,1,1,0
2.284,1,0,1
65.454,1,0,0
2.284,1,1,1
392.724,0,1,1
2.284,1,1,0
32.727,0,1,0
39.2724,1,0,1
58.9086,1,0,1
6.5454,0,1,1
39.2724,1,1,1
39.2724,1,1,1
2.284,1,1,1
78.5448,0,0,1
2.284,1,1,1
26.1816,1,1,1
78.5448,0,1,1
2.284,1,1,1
392.724,1,1,0
11.7749331,1,1,0
10.1638,1,1,1
2.284,1,0,1
39.2724,0,1,0
196.362,1,0,1
39.2724,0,1,1
46.78317312,1,1,0
2.284,1,0,1
39.2724,1,1,1
1309.08,0,1,1
114.5489903,1,1,1
52.3632,1,1,1
98.181,0,1,1
39.2724,0,1,1
2.284,0,1,1
13.05808413,1,1,0
7.994,0,0,0
39.2724,0,0,1
32.727,1,0,0
39.2724,1,1,1
130.908,1,1,1
98.181,1,0,0
32.727,1,0,0
10.89468,1,1,0
39.2724,0,0,0
196.362,1,1,1
130.908,1,1,1
2.284,1,1,1
32.727,0,0,0
2.284,0,0,1
2.284,1,1,1
2.284,1,0,1
81.8175,1,0,1
116.858808,1,0,0
196.362,0,1,1
163.635,1,1,1
39.2724,1,1,0
39.2724,0,1,0
46.31883413,0,0,1
39.2724,1,1,1
116.480342,1,1,1
39.2724,0,1,1
2.284,1,1,1
98.181,1,0,0
196.362,1,1,1
2.284,1,1,1
36.65020656,1,1,0
2.284,1,1,1
2.284,1,1,0
22.97452793,1,1,1
2.284,1,1,1
241.0730104,1,0,0
13.0908,1,0,1
29.4543,1,1,0
77.96502587,1,0,0
98.181,0,1,1
58.9086,0,1,1
130.908,1,1,0
98.181,1,1,0
98.181,1,1,1
39.2724,1,1,0
229.089,1,1,1
39.2724,0,1,0
52.3632,0,1,1
2.284,0,1,1
39.2724,1,1,1
39.2724,1,1,1
117.8172,0,1,1
196.362,1,1,1
6.5454,1,1,1
39.2724,0,0,0
45.87756656,1,1,1
39.2724,1,1,0
39.2724,0,1,1
2.284,0,1,1
392.724,1,0,1
196.362,1,0,1
13.0908,1,1,1
46.12903518,1,1,1
32.727,0,1,1
2.284,1,1,1
196.362,1,1,1
68.76233485,1,1,0
14.13156413,1,1,0
39.2724,1,1,1
98.181,1,0,0
88.3629,1,1,1
13.0908,1,1,1
39.2724,1,1,0
58.9086,0,1,1
117.8172,1,1,1
61.55540036,1,1,1
65.454,1,1,1
9.8181,0,0,0
20.1229531,1,1,1
2.284,1,1,1
65.454,1,1,0
70.92116652,1,1,1
294.543,1,1,1
6.5454,1,1,1
2.284,1,0,1
39.2724,1,0,0
45.98856862,1,0,1
589.086,1,1,0
11.42,1,1,1
35.89054793,1,0,1
294.543,1,1,0
39.2724,0,1,1
39.2724,1,1,1
157.0896,1,1,1
98.181,0,1,1
2.284,0,1,1
98.181,0,0,0
98.181,1,0,0
39.2724,1,1,1
117.8172,1,1,1
13.0908,0,0,0
2.284,0,1,1
72.82305377,1,1,1
26.1816,1,0,0
39.2724,1,0,0
2.284,1,1,0
98.181,1,1,1
39.2724,1,1,1
78.5448,1,1,1
2.284,1,1,1
2.284,1,1,0
11.42,1,1,1
65.454,1,0,1
4.568,0,0,0
98.181,1,0,0
39.2724,1,1,1
2.284,1,0,1
2.284,1,1,1
39.2724,1,1,0
98.181,0,1,1
981.81,0,1,0
2.284,1,1,1
39.2724,1,1,1
163.635,0,1,1
16.7711831,1,1,1
29.34802826,1,1,1
2.284,1,0,1
2.284,0,0,0
1084.30848,0,1,1
32.727,1,0,1
32.727,1,1,1
196.362,1,0,0
39.2724,1,1,1
39.2724,1,1,0
2.284,1,0,0
39.2724,1,1,1
19.6362,1,1,1
65.454,1,1,1
117.8172,1,1,1
78.5448,1,1,0
196.362,1,1,1
19.6362,1,1,1
39.2724,0,0,0
39.2724,1,1,0
13.0908,1,0,0
65.454,1,1,1
2.284,1,0,1
88.3629,0,1,1
78.5448,1,0,1
2.284,1,0,1
2.284,1,1,1
25.12833826,1,1,1
42.20991757,1,1,1
58.9086,1,0,1
2.284,0,0,1
68.62140826,1,1,1
98.181,1,1,1
49.0905,1,1,0
26.1816,0,1,1
58.9086,1,1,1
39.2724,1,1,1
45.82115243,1,1,0
2.284,1,1,1
2.284,1,0,0
39.2724,1,0,0
2.284,1,0,1
2.284,0,1,1
26.1816,0,1,1
78.5448,1,1,0
2.284,1,1,1
98.181,0,1,0
2.284,1,1,0
76.25979348,1,0,1
31.37576413,1,1,1
39.2724,1,1,0
2.284,1,1,1
45.8178,1,1,1
2.284,1,1,1
13.0908,1,0,0
13.0908,1,1,0
196.362,1,1,1
68.52,1,0,0
32.727,0,1,1
392.724,1,1,1
65.454,1,1,1
39.2724,1,1,0
294.543,0,0,1
81.8175,0,0,0
196.362,1,0,0
39.2724,0,0,0
2.284,1,0,1
39.2724,1,1,1
392.724,0,1,1
2.284,0,1,1
6.5454,1,0,0
2.284,1,0,1
39.2724,0,0,1
2.284,1,1,1
19.22762621,1,1,1
13.0908,1,1,1
65.454,0,0,1
39.2724,1,1,1
22.8676369,0,1,1
2.284,1,0,0
39.2724,1,1,1
13.0908,1,1,0
187.6998114,0,1,1
39.2724,1,1,0
196.362,1,0,0
2.284,1,0,0
14.74116379,1,1,0
39.2724,1,1,1
49.0905,0,1,0
39.2724,1,0,1
39.2724,1,0,0
981.81,1,1,1
65.454,1,0,0
2.284,1,0,0
2.284,1,0,0
2.284,1,0,1
39.2724,1,1,0
2.284,1,1,1
98.181,1,1,0
45.8178,1,1,1
392.724,1,0,0
98.181,1,1,1
65.454,1,1,1
61.99301275,0,1,1
2.284,1,0,0
114.5445,0,1,1
13.704,1,1,1
39.2724,1,0,0
39.2724,0,0,1
2.284,0,1,1
98.181,0,1,0
46.95310138,1,1,1
2.284,1,1,1
39.2724,0,1,0
2.284,1,1,0
2.284,1,0,1
68.72350239,1,0,1
47.25481688,0,1,1
39.2724,1,1,1
6.5454,0,1,0
19.6362,1,1,0
41.24447312,1,1,1
52.06926138,1,1,1
39.2724,0,0,0
2.284,1,1,0
29.4543,1,1,1
58.9086,1,0,0
52.3632,0,0,0
68.7267,1,1,0
6.5454,1,1,1
13.70811103,1,0,1
490.905,1,1,1
392.724,0,1,1
32.727,1,1,1
2.284,1,1,1
98.181,1,1,1
2.284,1,0,1
589.086,1,1,1
78.5448,1,0,1
2.284,1,0,0
39.2724,0,1,1
2.284,1,1,1
26.1816,1,1,0
13.0908,1,1,1
2.284,1,1,1
39.2724,1,1,1
785.448,1,1,1
98.181,1,1,1
39.2724,1,1,1
353.4516,0,1,1
196.362,0,1,1
39.2724,0,1,1
39.2724,0,1,1
2.284,1,1,1
26.1816,1,1,1
13.0908,1,0,0
39.2724,0,1,0
9.8181,0,1,1
13.0908,1,1,1
39.2724,1,1,1
68.7267,0,1,1
98.181,1,1,1
392.724,1,0,1
78.91471485,1,0,1
2.284,1,0,0
78.5448,1,1,1
39.2724,0,1,0
39.2724,1,1,1
39.2724,0,1,1
2.284,0,1,1
39.2724,1,0,1
32.727,1,1,1
13.0908,1,0,0
98.181,1,1,1
45.8178,0,1,1
39.2724,0,1,1
78.5448,0,0,0
39.2724,1,1,0
65.454,1,0,0
2.284,1,1,1
48.28969862,1,1,1
122.5749752,1,1,1
98.181,1,1,1
57.22082449,1,0,0
2.284,1,1,1
10.3922,0,1,1
39.2724,1,0,0
2.284,1,1,1
196.362,0,0,1
196.362,0,1,1
2.284,1,1,0
2.284,0,1,1
78.5448,1,1,1
2.284,1,0,1
2.284,1,0,0
39.2724,0,0,1
39.2724,0,1,1
307.736569,1,1,1
26.1816,1,1,1
39.2724,1,0,0
2.284,1,0,0
130.908,1,0,0
19.8708,1,1,1
78.5448,1,1,1
32.727,0,0,0
39.2724,0,1,1
39.2724,0,1,1
58.9086,1,1,1
2.284,1,1,1
13.0908,0,0,0
46.46569656,1,0,1
490.905,0,0,1
2.284,0,1,1
39.2724,1,1,0
19.6362,1,0,0
2.284,0,1,0
26.1816,1,1,1
39.2724,1,1,0
114.5445,1,1,1
2.284,1,1,1
84.95794688,1,0,1
2.284,1,1,0
2.284,1,0,1
39.2724,1,1,1
981.81,1,1,1
2.284,1,1,1
98.181,1,1,1
2.284,1,1,1
39.2724,1,1,1
47.66045551,0,1,1
70.03200688,1,0,0
78.5448,1,1,1
13.0908,0,1,1
147.2715,1,1,1
2.284,1,1,0
9.146049656,1,0,0
2.284,0,1,1
32.727,1,1,1
98.181,1,1,1
2.284,1,1,1
45.73504518,1,0,0
2.284,1,1,1
19.6362,1,0,0
39.2724,1,1,1
98.181,1,1,1
39.2724,1,1,1
27.69144518,0,1,1
98.181,1,1,1
2.284,0,1,1
2.284,1,0,1
29.4543,1,0,0
58.9086,1,1,0
39.2724,1,1,1
196.362,0,1,1
18.52346862,1,1,1
39.2724,1,0,1
2.284,1,1,1
107.1511165,1,1,1
78.5448,0,0,0
81.8175,1,0,1
2.284,0,0,0
78.5448,1,1,1
39.2724,1,0,1
78.5448,1,1,0
39.2724,1,0,0
2.284,1,0,1
71.9994,1,0,0
32.727,0,1,1
16.3635,1,1,0
78.47253,1,1,1
25.1564338,1,1,1
39.2724,1,1,1
654.54,1,1,1
2.284,1,1,1
39.2724,1,1,1
78.5448,1,1,1
39.2724,1,0,0
2.284,1,1,1
17.13,1,0,0
2.284,0,1,1
196.362,1,1,0
2.284,1,1,0
785.448,0,0,1
48.51398898,1,0,1
117.8172,1,1,0
98.181,1,1,1
69.98153138,1,1,1
39.2724,0,1,0
39.2724,0,1,1
39.2724,1,1,0
13.704,0,0,0
196.362,0,1,1
5.9384,1,1,1
58.9086,1,1,1
98.181,1,1,0
39.2724,1,1,1
2.284,1,1,1
2.284,1,0,1
2.284,1,1,1
58.9086,1,1,1
32.727,1,1,1
2.284,1,0,1
9.136,0,0,0
2.284,1,1,1
32.727,0,1,1
78.5448,1,1,0
58.9086,0,1,1
2.284,1,0,1
19.6362,1,1,1
98.181,1,0,0
2.284,1,1,1
39.2724,0,1,1
2.284,0,1,1
2.284,1,1,0
46.06485344,0,1,0
6.5454,0,1,1
10.28371,1,1,0
2.284,0,1,1
589.086,1,1,1
39.2724,0,1,1
7.348084828,1,1,1
52.3632,1,0,1
130.908,1,1,1
2.284,1,0,1
354.4078339,1,0,1
2.284,1,0,1
196.362,0,1,1
10.94036,1,1,1
2.284,1,1,1
65.99412239,1,1,1
2.284,0,0,1
2.284,0,1,1
2.284,1,0,0
2.284,0,0,0
117.7148507,1,1,0
49.0905,1,1,1
13.0908,0,0,0
98.181,0,1,1
49.0905,1,1,1
39.2724,1,1,0
32.727,1,1,1
39.2724,1,1,1
46.24437551,1,1,0
39.2724,1,1,1
98.181,1,1,1
2.284,1,0,0
2.284,0,0,0
49.0905,0,0,0
2.284,1,1,1
32.727,0,1,1
26.1816,1,0,1
4.568,0,1,1
2.284,1,0,1
32.727,0,1,1
9.8212,0,1,1
98.181,1,1,1
196.362,1,1,1
49.0905,1,1,1
41.14785757,1,0,1
65.454,1,0,1
39.2724,1,1,1
98.181,1,1,1
2.284,1,0,1
2.284,1,1,1
39.2724,1,0,0
46.44810931,1,0,0
98.181,1,1,0
98.181,0,1,1
39.2724,0,1,1
2.284,1,0,1
58.9086,1,1,1
151.880513,1,1,1
2.284,1,0,1
3.864299656,1,1,1
2.284,0,1,1
98.181,0,1,1
2.284,1,1,1
6.5454,1,1,1
785.448,1,1,0
11.20484689,1,1,1
45.89926344,1,0,1
39.2724,1,1,0
196.362,1,0,0
98.181,1,1,1
39.2724,1,1,1
196.362,0,1,1
39.2724,1,0,0
2.284,1,1,1
98.181,0,1,1
114.5445,0,1,1
39.2724,0,1,1
19.6362,1,1,1
48.64463312,1,1,1
46.30490207,1,0,1
9.8181,1,1,1
39.2724,1,1,0
2.284,1,0,0
39.2724,1,0,0
2.284,1,1,1
39.2724,0,1,1
196.362,0,1,0
52.3632,1,0,1
6.5454,1,1,1
392.724,1,1,1
14.2797969,1,0,1
2.284,1,1,0
392.724,0,1,1
6.5454,0,1,1
19.6362,1,0,0
39.2724,0,1,0
104.7513217,1,0,1
98.181,1,1,1
2.284,1,0,0
39.2724,1,1,1
39.2724,1,1,1
4.568,1,1,1
2.284,1,1,1
32.727,1,1,1
2.284,1,1,0
98.181,1,1,1
69.12891239,1,1,1
63.50981515,1,0,1
196.362,1,1,1
2.284,1,1,1
98.181,0,1,1
32.727,0,1,1
6.5454,0,1,0
2.284,1,0,1
19.6362,0,0,0
196.362,1,1,1
6.5454,1,1,1
39.2724,0,1,1
2.284,1,1,1
9.252484139,0,0,1
39.2724,1,1,1
39.2724,1,1,1
2.284,1,0,1
54.45969377,1,0,0
2.284,1,1,1
2.284,0,1,1
2.284,1,0,0
196.362,1,1,0
19.6362,1,1,1
77.34834587,0,1,1
78.5448,1,1,1
31.35703656,1,0,1
45.93443793,1,1,1
2.284,0,1,1
2.284,0,1,1
39.2724,0,1,1
98.181,1,1,1
29.59949688,1,1,1
38.82594518,1,1,1
104.7264,0,1,1
2.284,1,1,1
39.2724,0,1,0
39.2724,1,1,1
2.284,1,0,0
4.434614484,1,1,1
32.727,1,1,0
78.5448,0,0,1
2.284,1,1,1
68.7267,1,0,1
39.2724,1,1,1
98.181,0,1,1
2.284,0,1,1
39.2724,1,1,1
2.284,0,1,1
49.32480898,1,1,1
16.3635,0,1,1
78.5448,0,1,1
117.8172,0,1,1
196.362,1,0,0
98.181,1,1,1
43.19021138,0,1,1
11.42,1,1,1
58.9086,1,0,1
39.2724,1,0,0
163.635,1,1,1
2.284,1,1,1
2.284,1,1,1
32.727,1,1,1
2.284,1,1,1
39.2724,1,0,0
39.2724,0,0,0
39.2724,0,0,1
2.284,0,1,1
98.181,1,0,0
2.284,1,1,0
47.97770623,1,1,1
589.086,1,0,0
98.181,0,1,1
294.543,1,0,0
98.181,0,0,1
6.5454,1,1,1
121.0035765,1,1,0
65.454,1,1,0
39.2724,1,1,1
39.2724,1,0,0
26.1816,0,1,1
2.284,1,1,1
78.5448,1,1,1
98.181,1,0,0
2.284,1,0,1
2.284,1,0,0
65.454,1,1,1
2.284,1,1,1
196.362,1,1,1
36.54537174,1,1,1
137.4534,1,1,1
2.284,1,1,1
45.81566826,1,1,1
39.2724,1,1,1
314.1792,1,1,1
49.0905,1,1,1
39.2724,1,1,0
2.284,0,1,1
79.37105761,1,0,1
39.2724,1,0,0
2.284,1,1,1
2.284,1,1,1
78.5448,1,0,0
2.284,1,0,0
39.2724,1,1,1
45.94699826,1,0,0
2.284,1,1,1
196.362,1,0,0
2.284,1,0,0
117.8172,1,1,1
13.704,1,0,1
39.2724,1,1,0
39.2724,1,1,0
2.284,0,1,1
2.284,0,1,1
39.2724,0,0,0
163.635,0,1,1
39.2724,1,0,1
392.724,0,1,1
98.181,0,0,1
26.1816,1,0,0
39.2724,1,1,1
39.2724,1,1,1
98.181,1,1,1
39.2724,1,0,1
2.284,1,1,1
2.284,1,1,1
39.2724,1,1,1
39.2724,1,1,1
39.2724,1,1,1
19.6362,1,1,1
39.2724,1,0,0
39.2724,0,1,0
78.5448,1,1,1
78.5448,1,1,1
39.2724,1,1,1
392.724,1,0,1
2.284,0,1,1
2.284,1,1,1
2.284,1,1,1
39.2724,1,1,1
2.284,0,0,0
58.9086,1,1,1
6.5454,1,1,0
39.2724,1,1,1
392.724,1,0,0
49.0905,1,0,0
196.362,0,1,1
2.284,1,1,1
98.181,1,1,1
98.181,0,0,0
39.2724,1,1,0
49.0905,1,0,0
27.43129725,1,1,1
2.284,1,1,1
2.284,1,0,1
114.3907162,1,1,1
39.2724,1,1,1
78.5448,1,0,1
13.0908,1,1,1
32.727,0,1,0
127.6196375,1,1,1
68.7267,1,1,1
2.284,1,1,1
2.284,1,1,1
2.284,1,1,0
39.2724,1,1,0
196.362,1,0,0
39.2724,1,1,1
39.2724,0,1,1
2.284,0,0,0
19.6362,0,1,1
39.2724,1,1,1
39.2724,0,0,1
196.362,0,1,1
32.66531243,1,1,1
2.284,1,0,1
39.2724,1,1,0
2.284,1,1,0
65.454,1,1,1
39.2724,1,1,1
2.284,0,0,1
7.994,1,1,1
2.284,0,1,0
58.9086,0,1,1
9.98679,1,1,1
196.362,1,0,0
2.284,0,1,1
58.9086,1,1,1
39.2724,1,0,0
78.5448,1,1,1
2.284,1,0,1
39.2724,1,0,0
52.70535761,1,0,0
39.2724,1,1,1
65.454,1,1,1
13.0908,1,1,1
2.284,1,0,0
39.2724,1,0,1
68.77101138,1,1,1
39.2724,1,1,1
1178.172,1,1,0
2.284,0,1,0
39.2724,1,1,1
39.2724,1,1,1
11.88753413,1,1,1
39.2724,1,0,0
26.1816,1,0,0
2.284,1,0,1
24.36411275,1,0,0
104.7264,1,1,1
2.284,1,0,0
52.41071826,1,0,1
196.362,1,1,1
61.40008725,1,0,0
43.67282069,0,1,1
39.2724,0,1,1
39.2724,1,1,1
47.05679587,1,1,0
39.2724,0,0,1
201.9980975,0,1,1
39.2724,1,1,0
228.932859,1,1,1
2.284,1,1,1
19.6362,1,0,1
19.6362,1,0,0
2.284,0,1,1
48.01881377,1,0,1
2.284,0,0,1
39.2724,0,1,1
2.284,1,1,1
52.3632,1,1,1
31.55071931,1,1,1
8.728534484,0,0,0
2.284,1,1,0
2.284,0,1,1
0,1,0,0
196.362,1,1,1
32.727,0,1,1
114.6869448,1,0,1
6.5454,1,1,1
2.284,0,1,1
39.2724,1,1,0
156.1431507,1,0,1
49.0905,1,0,1
157.0896,1,1,1
98.181,0,1,0
78.5448,1,1,1
39.2724,1,1,1
2.284,1,1,1
2.284,1,0,1
78.5448,0,1,1
39.2724,1,0,0
107.63921,1,1,1
2.284,0,0,1
39.2724,1,1,1
13.73255,1,1,1
196.362,1,0,1
98.181,0,1,1
2.284,1,0,0
114.7148145,1,0,0
78.5448,1,1,1
39.2724,0,1,0
81.8175,1,0,0
2.284,1,0,1
2.284,1,1,1
39.2724,1,1,1
114.4539835,1,1,1
157.0896,1,1,1
2.284,1,1,1
196.362,1,1,0
25.82221757,1,1,1
58.9086,1,1,1
6.5454,1,1,1
39.2724,0,1,0
2.284,0,1,1
2.284,1,1,0
163.635,1,0,1
392.724,1,1,0
2.284,1,1,1
39.2724,0,1,1
11.42,0,1,1
