quant_saved,female,highschool_completed,rem_any,wealthy,age
2.284,1,0,1,0,69
2.284,1,0,1,0,24
39.2724,1,0,1,0,61
78.5448,1,1,1,1,49
58.9086,1,1,1,1,45
130.908,1,1,1,0,18
39.2724,1,1,1,1,20
2.284,1,1,1,0,25
46.15393,1,1,1,1,23
2.284,1,1,1,0,27
2.284,1,1,1,0,24
47.59947449,1,1,1,0,40
39.2724,1,0,0,0,73
2.284,1,1,1,1,32
2.284,1,0,1,0,32
39.2724,1,1,1,1,23
2.284,1,1,0,1,23
2.284,1,0,1,1,38
39.2724,1,0,1,0,34
45.97920344,1,1,0,1,35
2.284,1,1,1,0,36
98.181,1,1,0,1,48
117.8172,0,1,1,1,36
52.3632,1,0,1,0,38
98.181,1,1,1,0,26
16.3635,1,0,1,1,25
2.284,1,1,1,1,28
117.8172,1,1,0,0,42
58.9086,0,1,1,1,22
52.3632,1,1,1,1,45
39.2724,0,0,1,0,46
2.284,1,1,1,1,31
196.362,1,1,1,0,23
130.908,0,1,1,1,0
2.284,0,1,1,1,26
6.5454,1,1,1,1,20
2.284,1,1,0,1,43
157.0896,0,1,1,1,33
48.06061275,1,1,0,1,20
10.1067,1,1,1,1,24
2.284,1,1,1,1,43
4.568,1,0,1,0,34
196.362,1,1,1,1,27
39.2724,1,1,1,1,57
2.284,1,1,1,1,36
98.181,0,1,1,1,31
98.181,0,1,1,1,54
78.5448,1,1,1,1,23
52.3632,1,1,1,1,38
2.284,1,1,1,1,50
32.727,1,1,0,1,31
78.5448,0,0,1,0,25
2.284,1,1,1,1,47
19.6362,1,1,1,0,64
2.284,1,0,1,1,31
39.2724,1,0,1,1,47
69.49389515,1,1,1,1,28
81.48261449,0,1,1,1,48
39.2724,1,0,0,1,54
16.3635,1,1,1,1,23
98.181,0,0,1,0,28
46.87316138,1,1,1,1,20
98.181,1,1,1,1,65
261.816,1,0,1,1,34
196.362,1,0,1,1,39
29.4543,1,1,1,1,28
13.71222207,1,1,1,1,47
2.284,1,1,1,1,34
117.8172,0,1,1,1,51
39.2724,1,1,1,1,57
39.2724,0,0,1,1,24
78.5448,0,0,1,1,38
39.2724,1,1,1,1,25
39.2724,0,1,1,0,28
2.284,1,1,1,1,32
39.2724,1,1,1,0,33
2.284,1,1,1,1,18
392.724,0,1,1,1,30
234.7120704,1,0,1,1,37
39.2724,1,0,1,0,32
39.2724,1,1,1,1,39
242.1944455,1,0,1,1,35
261.816,1,1,1,0,25
45.8178,1,0,1,0,44
65.454,1,1,1,1,23
58.9086,0,1,1,1,0
45.71357413,1,1,1,0,29
39.2724,1,0,1,0,32
2.284,1,1,1,1,45
2.284,0,1,1,1,58
28.17976449,1,1,1,1,19
2.284,1,1,1,1,27
196.362,1,1,1,0,38
39.2724,1,1,1,1,38
39.2724,1,1,1,1,40
39.2724,1,0,1,0,42
19.6362,0,0,0,0,30
7.0804,0,1,0,1,24
78.5448,0,1,1,1,55
2.284,1,0,1,1,19
39.2724,1,1,1,1,0
98.181,1,1,1,1,60
39.2724,1,0,1,0,38
39.2724,1,1,0,1,57
13.0908,1,1,1,1,45
39.2724,1,1,1,1,40
78.5448,1,0,1,0,33
2.284,1,0,1,1,34
2.284,1,0,1,1,30
39.2724,0,1,1,1,36
16.3635,0,1,1,1,42
2.284,1,1,1,0,26
2.284,1,1,1,1,39
16.3635,0,1,1,1,18
39.2724,1,1,1,1,22
11.42228414,1,0,1,1,53
39.2724,1,1,1,1,24
2.284,1,0,1,0,32
39.2724,1,1,1,1,35
78.5448,0,1,1,1,19
2.284,1,1,1,1,46
39.2724,0,1,1,1,46
6.5454,1,1,1,1,24
98.181,0,1,1,0,26
2.284,1,0,1,1,49
19.6362,0,1,1,1,19
8.457651721,1,0,1,0,18
6.5454,1,1,0,1,0
137.4534,0,1,0,1,40
294.543,0,1,1,1,0
39.2724,0,1,1,1,24
98.181,1,1,1,0,64
39.2724,1,1,1,1,31
785.448,0,1,0,1,43
39.2724,0,1,1,1,21
6.5454,1,0,1,1,34
343.6335,1,1,1,1,21
19.6362,1,0,0,0,41
2.284,1,1,1,1,27
2.284,1,1,1,1,43
2.284,1,0,1,0,38
32.727,1,1,1,1,28
52.3632,1,1,0,1,23
39.2724,0,1,1,1,45
39.2724,0,1,1,1,0
116.4967917,1,1,1,1,43
2.284,1,0,1,0,51
4.568,1,1,1,1,19
2.284,1,1,1,1,38
13.0908,0,1,1,1,26
58.9086,0,0,1,0,39
2.284,1,1,1,1,28
2.284,1,1,1,1,30
39.2724,0,0,1,0,84
589.086,1,0,1,0,43
69.29267898,1,0,1,0,26
196.362,0,1,1,1,47
2.284,0,0,1,1,39
26.1816,1,1,0,1,42
81.8175,0,0,0,1,18
13.0908,0,1,1,1,24
294.543,1,1,1,1,43
23.82212,1,1,1,0,31
39.2724,1,0,1,0,58
39.2724,1,1,1,1,23
2.284,0,0,1,1,27
48.12159377,1,1,1,1,25
81.8175,0,1,1,1,20
11.42,0,1,0,1,22
6.5454,1,0,1,1,33
29.4543,1,0,1,0,19
17.14210587,1,1,1,0,25
2.284,1,0,0,1,29
2.284,1,1,1,0,18
47.13102587,1,1,1,1,30
10.86475966,0,1,0,1,20
39.2724,1,0,1,0,55
79.31258587,1,0,1,1,33
2.284,1,0,1,0,53
2.284,1,1,1,1,34
130.908,1,1,1,1,23
98.181,1,1,1,1,28
2.284,0,1,1,1,22
39.2724,0,0,1,0,39
2.284,0,1,1,1,22
39.2724,0,0,1,0,69
39.2724,1,1,1,1,32
45.8178,1,1,1,1,29
58.9086,1,1,1,1,0
157.0896,1,1,1,1,47
392.724,0,1,1,1,51
39.2724,0,0,1,1,52
36.35534138,1,1,1,0,39
2.284,0,1,1,1,32
19.6362,1,0,1,1,18
25.58536688,1,1,1,1,44
39.2724,1,1,1,0,21
78.5448,1,1,1,1,36
98.181,1,0,1,1,35
2.284,1,0,1,1,36
98.181,1,0,1,0,37
19.6362,1,1,1,1,40
19.6362,0,0,1,0,39
114.338869,1,1,1,1,45
196.362,0,1,1,1,37
8.76485,1,1,1,1,29
39.2724,1,1,1,1,70
98.181,1,1,1,1,21
39.2724,1,0,1,1,38
66.62290826,1,1,1,1,27
39.2724,1,0,1,1,40
39.2724,0,1,1,1,32
39.2724,1,1,1,0,59
2.284,1,0,1,0,26
2.284,1,0,1,1,18
39.2724,1,1,0,1,24
98.181,1,1,1,0,41
2.284,1,1,1,1,27
2.284,0,1,1,1,31
2.284,0,0,1,0,34
39.2724,1,1,1,0,45
39.2724,1,1,1,0,22
98.181,1,1,1,1,31
2.284,1,1,1,1,45
45.74052656,1,1,1,0,31
26.1816,1,1,1,1,43
39.2724,1,1,1,0,30
13.0908,1,1,1,1,37
2.284,1,1,1,1,30
78.5448,1,1,1,1,48
2.284,1,1,1,1,31
2.284,1,1,0,0,46
392.724,1,0,0,0,31
2.284,1,1,1,1,31
26.1816,0,1,1,1,28
78.5448,1,1,0,0,48
39.2724,1,1,1,1,27
16.3635,1,1,1,1,40
2.284,1,0,1,0,24
2.284,0,1,1,1,53
19.6362,1,1,1,1,23
57.56388174,1,1,1,1,31
78.5448,1,1,1,0,63
98.181,1,0,0,0,38
39.2724,1,0,1,0,29
117.8172,1,0,1,0,48
39.2724,1,1,0,1,0
13.0908,1,1,1,0,55
26.1816,1,1,1,1,35
39.2724,1,1,1,1,0
39.2724,1,0,1,1,32
78.5448,0,1,1,1,0
589.086,1,1,1,1,38
2.284,1,0,1,0,25
91.6356,1,1,1,1,56
13.0908,1,0,1,0,49
2.284,1,0,1,0,29
10.06216172,1,1,1,1,20
261.816,1,1,1,1,25
78.5448,1,1,1,1,0
36.544,1,1,1,1,21
294.543,0,1,1,1,34
392.724,1,0,1,0,33
2.284,1,1,1,1,28
39.2724,1,1,1,0,41
17.2442,0,0,1,1,45
2.284,0,1,1,1,37
116.4282717,0,1,1,0,21
39.2724,1,0,1,1,62
2.284,1,1,1,1,37
2.284,1,0,1,1,47
57.09291826,0,0,1,1,25
2.284,1,1,1,1,26
39.2724,1,1,1,1,66
2.284,1,1,1,1,38
45.99267826,1,1,0,1,29
2.284,1,1,1,1,36
6.5454,1,0,1,1,30
39.2724,1,0,1,0,35
39.2724,0,0,1,0,37
39.2724,1,1,1,0,29
294.543,0,1,1,1,44
39.2724,0,1,1,1,0
13.70674069,1,0,1,1,37
26.1816,1,1,1,1,29
130.908,0,1,1,1,26
51.93313587,0,1,1,1,25
981.81,1,1,1,1,48
9.054461033,0,1,1,1,21
29.4543,0,1,1,0,25
78.5448,1,1,1,1,39
2.284,0,1,1,1,34
39.2724,1,1,0,1,26
39.2724,1,1,0,1,56
52.3632,1,1,1,1,77
58.9086,0,1,1,0,53
49.0905,1,0,1,1,54
4.07123,1,1,1,1,28
39.2724,0,1,1,1,0
196.362,1,1,1,1,30
2.284,0,1,1,1,23
26.1816,0,1,1,1,23
98.181,1,0,0,1,50
39.2724,0,0,1,0,48
39.2724,0,1,1,1,82
2.284,0,1,0,1,49
2.284,1,1,1,1,18
32.727,1,0,1,0,33
2.284,0,1,1,1,41
2.284,1,1,1,1,23
2.284,1,0,1,0,23
23.97309207,1,1,1,0,31
58.9086,1,1,1,0,46
2.284,1,0,0,1,38
65.454,1,0,1,0,28
2.284,1,1,0,1,29
392.724,0,1,1,1,36
2.284,1,1,0,0,32
32.727,0,1,1,0,18
39.2724,1,0,0,1,35
58.9086,1,0,1,1,36
6.5454,0,1,1,1,0
39.2724,1,1,1,1,21
39.2724,1,1,1,1,39
2.284,1,1,1,1,21
78.5448,0,0,1,1,41
2.284,1,1,0,1,21
26.1816,1,1,1,1,28
78.5448,0,1,1,1,69
2.284,1,1,1,1,39
392.724,1,1,0,0,29
11.7749331,1,1,1,0,26
10.1638,1,1,1,1,37
2.284,1,0,1,1,29
39.2724,0,1,1,0,46
196.362,1,0,1,1,50
39.2724,0,1,1,1,29
46.78317312,1,1,1,0,22
2.284,1,0,1,1,44
39.2724,1,1,1,1,49
1309.08,0,1,1,1,31
114.5489903,1,1,1,1,25
52.3632,1,1,1,1,81
98.181,0,1,1,1,48
39.2724,0,1,1,1,56
2.284,0,1,0,1,37
13.05808413,1,1,1,0,21
7.994,0,0,1,0,34
39.2724,0,0,1,1,0
32.727,1,0,1,0,38
39.2724,1,1,0,1,25
130.908,1,1,0,1,34
98.181,1,0,1,0,36
32.727,1,0,1,0,27
10.89468,1,1,1,0,25
39.2724,0,0,1,0,35
196.362,1,1,0,1,27
130.908,1,1,1,1,32
2.284,1,1,1,1,34
32.727,0,0,0,0,58
2.284,0,0,1,1,30
2.284,1,1,1,1,56
2.284,1,0,1,1,20
81.8175,1,0,1,1,42
116.858808,1,0,1,0,53
196.362,0,1,0,1,35
163.635,1,1,1,1,36
39.2724,1,1,1,0,33
39.2724,0,1,1,0,23
46.31883413,0,0,0,1,54
39.2724,1,1,1,1,46
116.480342,1,1,1,1,38
39.2724,0,1,1,1,19
2.284,1,1,1,1,29
98.181,1,0,1,0,34
196.362,1,1,1,1,32
2.284,1,1,0,1,54
36.65020656,1,1,1,0,35
2.284,1,1,1,1,34
2.284,1,1,1,0,23
22.97452793,1,1,1,1,43
2.284,1,1,1,1,25
241.0730104,1,0,0,0,44
13.0908,1,0,0,1,42
29.4543,1,1,0,0,26
77.96502587,1,0,0,0,30
98.181,0,1,1,1,0
58.9086,0,1,1,1,59
130.908,1,1,1,0,30
98.181,1,1,1,0,58
98.181,1,1,1,1,24
39.2724,1,1,0,0,32
229.089,1,1,1,1,19
39.2724,0,1,1,0,23
52.3632,0,1,1,1,66
2.284,0,1,1,1,32
39.2724,1,1,1,1,28
39.2724,1,1,1,1,62
117.8172,0,1,1,1,25
196.362,1,1,1,1,35
6.5454,1,1,1,1,54
39.2724,0,0,0,0,41
45.87756656,1,1,1,1,20
39.2724,1,1,1,0,24
39.2724,0,1,1,1,34
2.284,0,1,1,1,29
392.724,1,0,1,1,36
196.362,1,0,1,1,61
13.0908,1,1,1,1,0
46.12903518,1,1,1,1,31
32.727,0,1,1,1,34
2.284,1,1,1,1,41
196.362,1,1,1,1,0
68.76233485,1,1,1,0,20
14.13156413,1,1,1,0,19
39.2724,1,1,1,1,37
98.181,1,0,1,0,28
88.3629,1,1,1,1,0
13.0908,1,1,1,1,40
39.2724,1,1,1,0,31
58.9086,0,1,1,1,25
117.8172,1,1,1,1,40
61.55540036,1,1,1,1,30
65.454,1,1,0,1,51
9.8181,0,0,0,0,66
20.1229531,1,1,1,1,47
2.284,1,1,1,1,50
65.454,1,1,1,0,36
70.92116652,1,1,0,1,26
294.543,1,1,0,1,51
6.5454,1,1,1,1,22
2.284,1,0,1,1,27
39.2724,1,0,1,0,42
45.98856862,1,0,1,1,22
589.086,1,1,1,0,53
11.42,1,1,1,1,51
35.89054793,1,0,1,1,32
294.543,1,1,1,0,44
39.2724,0,1,1,1,29
39.2724,1,1,1,1,48
157.0896,1,1,1,1,62
98.181,0,1,1,1,50
2.284,0,1,1,1,47
98.181,0,0,1,0,37
98.181,1,0,1,0,25
39.2724,1,1,0,1,57
117.8172,1,1,1,1,55
13.0908,0,0,1,0,33
2.284,0,1,1,1,36
72.82305377,1,1,1,1,33
26.1816,1,0,0,0,18
39.2724,1,0,1,0,63
2.284,1,1,0,0,27
98.181,1,1,1,1,0
39.2724,1,1,1,1,0
78.5448,1,1,1,1,18
2.284,1,1,1,1,35
2.284,1,1,1,0,25
11.42,1,1,1,1,26
65.454,1,0,1,1,25
4.568,0,0,1,0,22
98.181,1,0,1,0,45
39.2724,1,1,1,1,46
2.284,1,0,1,1,28
2.284,1,1,1,1,24
39.2724,1,1,1,0,27
98.181,0,1,1,1,30
981.81,0,1,1,0,23
2.284,1,1,1,1,21
39.2724,1,1,1,1,22
163.635,0,1,0,1,20
16.7711831,1,1,0,1,31
29.34802826,1,1,1,1,33
2.284,1,0,1,1,28
2.284,0,0,1,0,19
1084.30848,0,1,1,1,27
32.727,1,0,1,1,24
32.727,1,1,1,1,0
196.362,1,0,1,0,31
39.2724,1,1,1,1,0
39.2724,1,1,1,0,65
2.284,1,0,1,0,38
39.2724,1,1,1,1,48
19.6362,1,1,1,1,35
65.454,1,1,0,1,43
117.8172,1,1,1,1,53
78.5448,1,1,0,0,43
196.362,1,1,1,1,40
19.6362,1,1,1,1,20
39.2724,0,0,1,0,66
39.2724,1,1,1,0,27
13.0908,1,0,0,0,34
65.454,1,1,1,1,0
2.284,1,0,0,1,43
88.3629,0,1,1,1,30
78.5448,1,0,1,1,40
2.284,1,0,0,1,32
2.284,1,1,0,1,23
25.12833826,1,1,1,1,31
42.20991757,1,1,0,1,39
58.9086,1,0,1,1,67
2.284,0,0,1,1,24
68.62140826,1,1,1,1,58
98.181,1,1,1,1,40
49.0905,1,1,1,0,40
26.1816,0,1,1,1,0
58.9086,1,1,1,1,36
39.2724,1,1,1,1,18
45.82115243,1,1,1,0,28
2.284,1,1,0,1,35
2.284,1,0,0,0,18
39.2724,1,0,0,0,43
2.284,1,0,1,1,25
2.284,0,1,1,1,35
26.1816,0,1,1,1,62
78.5448,1,1,1,0,45
2.284,1,1,1,1,51
98.181,0,1,1,0,48
2.284,1,1,1,0,43
76.25979348,1,0,1,1,20
31.37576413,1,1,1,1,24
39.2724,1,1,1,0,48
2.284,1,1,1,1,26
45.8178,1,1,1,1,21
2.284,1,1,1,1,21
13.0908,1,0,1,0,29
13.0908,1,1,1,0,53
196.362,1,1,1,1,38
68.52,1,0,0,0,30
32.727,0,1,1,1,0
392.724,1,1,1,1,40
65.454,1,1,0,1,22
39.2724,1,1,1,0,40
294.543,0,0,1,1,20
81.8175,0,0,1,0,58
196.362,1,0,1,0,32
39.2724,0,0,1,0,39
2.284,1,0,1,1,28
39.2724,1,1,1,1,41
392.724,0,1,1,1,30
2.284,0,1,0,1,29
6.5454,1,0,1,0,45
2.284,1,0,1,1,41
39.2724,0,0,1,1,27
2.284,1,1,1,1,28
19.22762621,1,1,0,1,43
13.0908,1,1,1,1,24
65.454,0,0,1,1,34
39.2724,1,1,1,1,20
22.8676369,0,1,1,1,33
2.284,1,0,1,0,35
39.2724,1,1,1,1,50
13.0908,1,1,1,0,41
187.6998114,0,1,1,1,41
39.2724,1,1,1,0,21
196.362,1,0,1,0,36
2.284,1,0,1,0,34
14.74116379,1,1,0,0,40
39.2724,1,1,1,1,42
49.0905,0,1,0,0,52
39.2724,1,0,1,1,40
39.2724,1,0,1,0,22
981.81,1,1,1,1,39
65.454,1,0,1,0,43
2.284,1,0,1,0,43
2.284,1,0,1,0,53
2.284,1,0,0,1,27
39.2724,1,1,1,0,42
2.284,1,1,0,1,22
98.181,1,1,1,0,22
45.8178,1,1,1,1,22
392.724,1,0,1,0,33
98.181,1,1,1,1,30
65.454,1,1,1,1,19
61.99301275,0,1,1,1,31
2.284,1,0,1,0,48
114.5445,0,1,1,1,28
13.704,1,1,1,1,36
39.2724,1,0,1,0,38
39.2724,0,0,1,1,50
2.284,0,1,1,1,41
98.181,0,1,1,0,23
46.95310138,1,1,1,1,32
2.284,1,1,1,1,36
39.2724,0,1,0,0,36
2.284,1,1,1,0,34
2.284,1,0,1,1,45
68.72350239,1,0,1,1,21
47.25481688,0,1,1,1,24
39.2724,1,1,1,1,48
6.5454,0,1,1,0,18
19.6362,1,1,1,0,30
41.24447312,1,1,1,1,25
52.06926138,1,1,1,1,19
39.2724,0,0,1,0,40
2.284,1,1,1,0,19
29.4543,1,1,0,1,24
58.9086,1,0,0,0,43
52.3632,0,0,1,0,33
68.7267,1,1,1,0,36
6.5454,1,1,1,1,35
13.70811103,1,0,1,1,41
490.905,1,1,1,1,59
392.724,0,1,1,1,0
32.727,1,1,1,1,0
2.284,1,1,1,1,40
98.181,1,1,1,1,23
2.284,1,0,1,1,50
589.086,1,1,0,1,38
78.5448,1,0,1,1,62
2.284,1,0,0,0,30
39.2724,0,1,1,1,40
2.284,1,1,1,1,21
26.1816,1,1,1,0,26
13.0908,1,1,1,1,21
2.284,1,1,1,1,46
39.2724,1,1,1,1,51
785.448,1,1,0,1,40
98.181,1,1,0,1,50
39.2724,1,1,1,1,36
353.4516,0,1,1,1,39
196.362,0,1,1,1,28
39.2724,0,1,1,1,0
39.2724,0,1,1,1,59
2.284,1,1,1,1,54
26.1816,1,1,0,1,0
13.0908,1,0,1,0,32
39.2724,0,1,1,0,30
9.8181,0,1,1,1,28
13.0908,1,1,1,1,42
39.2724,1,1,1,1,0
68.7267,0,1,1,1,0
98.181,1,1,1,1,0
392.724,1,0,1,1,25
78.91471485,1,0,1,1,28
2.284,1,0,1,0,50
78.5448,1,1,1,1,34
39.2724,0,1,1,0,57
39.2724,1,1,1,1,35
39.2724,0,1,1,1,18
2.284,0,1,1,1,43
39.2724,1,0,1,1,38
32.727,1,1,1,1,0
13.0908,1,0,1,0,32
98.181,1,1,1,1,0
45.8178,0,1,1,1,34
39.2724,0,1,0,1,27
78.5448,0,0,1,0,23
39.2724,1,1,1,0,32
65.454,1,0,1,0,32
2.284,1,1,1,1,28
48.28969862,1,1,1,1,22
122.5749752,1,1,1,1,47
98.181,1,1,1,1,44
57.22082449,1,0,0,0,32
2.284,1,1,1,1,41
10.3922,0,1,1,1,20
39.2724,1,0,1,0,37
2.284,1,1,0,1,66
196.362,0,0,1,1,30
196.362,0,1,0,1,23
2.284,1,1,0,0,18
2.284,0,1,1,1,19
78.5448,1,1,0,1,47
2.284,1,0,1,1,26
2.284,1,0,1,0,27
39.2724,0,0,1,1,75
39.2724,0,1,1,1,19
307.736569,1,1,1,1,21
26.1816,1,1,0,1,51
39.2724,1,0,1,0,20
2.284,1,0,1,0,26
130.908,1,0,1,0,35
19.8708,1,1,1,1,27
78.5448,1,1,1,1,0
32.727,0,0,1,0,39
39.2724,0,1,1,1,31
39.2724,0,1,1,1,28
58.9086,1,1,1,1,0
2.284,1,1,1,1,30
13.0908,0,0,1,0,22
46.46569656,1,0,0,1,32
490.905,0,0,1,1,27
2.284,0,1,1,1,25
39.2724,1,1,1,0,29
19.6362,1,0,1,0,33
2.284,0,1,0,0,24
26.1816,1,1,1,1,20
39.2724,1,1,1,0,28
114.5445,1,1,0,1,39
2.284,1,1,1,1,36
84.95794688,1,0,1,1,42
2.284,1,1,1,0,32
2.284,1,0,1,1,31
39.2724,1,1,1,1,54
981.81,1,1,1,1,45
2.284,1,1,1,1,32
98.181,1,1,1,1,39
2.284,1,1,0,1,48
39.2724,1,1,1,1,33
47.66045551,0,1,1,1,21
70.03200688,1,0,1,0,25
78.5448,1,1,1,1,33
13.0908,0,1,1,1,64
147.2715,1,1,1,1,20
2.284,1,1,1,0,31
9.146049656,1,0,1,0,31
2.284,0,1,1,1,30
32.727,1,1,0,1,36
98.181,1,1,0,1,69
2.284,1,1,1,1,23
45.73504518,1,0,1,0,23
2.284,1,1,1,1,30
19.6362,1,0,1,0,45
39.2724,1,1,1,1,56
98.181,1,1,1,1,19
39.2724,1,1,1,1,27
27.69144518,0,1,1,1,29
98.181,1,1,1,1,60
2.284,0,1,1,1,20
2.284,1,0,1,1,47
29.4543,1,0,1,0,44
58.9086,1,1,1,0,34
39.2724,1,1,1,1,0
196.362,0,1,1,1,39
18.52346862,1,1,1,1,18
39.2724,1,0,1,1,74
2.284,1,1,1,1,39
107.1511165,1,1,1,1,22
78.5448,0,0,1,0,24
81.8175,1,0,1,1,30
2.284,0,0,0,0,19
78.5448,1,1,1,1,24
39.2724,1,0,1,1,50
78.5448,1,1,0,0,38
39.2724,1,0,1,0,35
2.284,1,0,1,1,33
71.9994,1,0,1,0,30
32.727,0,1,1,1,28
16.3635,1,1,1,0,24
78.47253,1,1,1,1,38
25.1564338,1,1,1,1,32
39.2724,1,1,1,1,48
654.54,1,1,1,1,23
2.284,1,1,1,1,18
39.2724,1,1,1,1,41
78.5448,1,1,1,1,26
39.2724,1,0,1,0,37
2.284,1,1,1,1,25
17.13,1,0,1,0,29
2.284,0,1,1,1,20
196.362,1,1,1,0,46
2.284,1,1,1,0,23
785.448,0,0,1,1,49
48.51398898,1,0,1,1,48
117.8172,1,1,1,0,39
98.181,1,1,1,1,43
69.98153138,1,1,1,1,28
39.2724,0,1,1,0,31
39.2724,0,1,0,1,56
39.2724,1,1,0,0,25
13.704,0,0,1,0,25
196.362,0,1,0,1,35
5.9384,1,1,1,1,35
58.9086,1,1,1,1,26
98.181,1,1,1,0,27
39.2724,1,1,1,1,0
2.284,1,1,1,1,21
2.284,1,0,1,1,24
2.284,1,1,1,1,33
58.9086,1,1,1,1,39
32.727,1,1,1,1,50
2.284,1,0,1,1,26
9.136,0,0,1,0,22
2.284,1,1,1,1,34
32.727,0,1,0,1,35
78.5448,1,1,1,0,33
58.9086,0,1,0,1,0
2.284,1,0,1,1,40
19.6362,1,1,1,1,20
98.181,1,0,1,0,47
2.284,1,1,1,1,20
39.2724,0,1,1,1,0
2.284,0,1,0,1,40
2.284,1,1,0,0,21
46.06485344,0,1,0,0,34
6.5454,0,1,1,1,74
10.28371,1,1,0,0,28
2.284,0,1,1,1,32
589.086,1,1,1,1,36
39.2724,0,1,1,1,58
7.348084828,1,1,1,1,33
52.3632,1,0,1,1,30
130.908,1,1,1,1,52
2.284,1,0,1,1,50
354.4078339,1,0,1,1,29
2.284,1,0,1,1,34
196.362,0,1,1,1,31
10.94036,1,1,1,1,40
2.284,1,1,1,1,31
65.99412239,1,1,1,1,46
2.284,0,0,1,1,27
2.284,0,1,1,1,34
2.284,1,0,1,0,44
2.284,0,0,1,0,30
117.7148507,1,1,1,0,25
49.0905,1,1,1,1,31
13.0908,0,0,1,0,32
98.181,0,1,1,1,23
49.0905,1,1,1,1,61
39.2724,1,1,1,0,52
32.727,1,1,1,1,46
39.2724,1,1,0,1,0
46.24437551,1,1,1,0,27
39.2724,1,1,1,1,28
